Molecule ChEMBL ID	Molecule Name	Molecule Max Phase	Molecular Weight	#RO5 Violations	AlogP	Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	pChEMBL Value	Data Validity Comment	Comment	Uo Units	Ligand Efficiency BEI	Ligand Efficiency LE	Ligand Efficiency LLE	Ligand Efficiency SEI	Potential Duplicate	Assay ChEMBL ID	Assay Description	Assay Type	BAO Format ID	BAO Label	Assay Organism	Assay Tissue ChEMBL ID	Assay Tissue Name	Assay Cell Type	Assay Subcellular Fraction	Assay Parameters	Assay Variant Accession	Assay Variant Mutation	Target ChEMBL ID	Target Name	Target Organism	Target Type	Document ChEMBL ID	Source ID	Source Description	Document Journal	Document Year	Cell ChEMBL ID	Properties	Action Type	Standard Text Value	Value
CHEMBL4855757		None	572.66	1	4.98	Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4C(CF)CC5)nc3c2F)c2ccccc2c1	IC50	='	0.1	nM	10			UO_0000065	17.46	0.33	5.02	11.54	0	CHEMBL4845550	Displacement of Cy5-labelled tracer from biotinylated GDP-loaded human recombinant KRAS G12D mutant (1 to 169 residues) measured after 60 mins by TR-FRET assay	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4842393	1	Scientific Literature	ACS Med Chem Lett	2021	None	TIME = 1.0 hr	INHIBITOR		0.1
CHEMBL5090412		None	499.59	0	3.38	CN(C)C1CN(c2nc(N3CC4CCC(C3)N4)c3cnc(-c4cc(O)cc5ccccc45)c(F)c3n2)C1	IC50	='	1300	nM	5.89			UO_0000065	11.78	0.22	2.51	7.3	0	CHEMBL5047300	Inhibition of KRAS G12D mutant in human AGS cells assessed as reduction in ERK phosphorylation measured after 3 hrs by In-Cell Western assay	B	BAO_0000219	cell-based format	Homo sapiens	None	None	AGS	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5046237	1	Scientific Literature	J Med Chem	2022	None	TIME = 3.0 hr	INHIBITOR		1.3
CHEMBL5089133		None	558.63	1	4.59	Oc1cc(-c2ncc3c(N4C[C@H]5CC[C@@H](C4)N5)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c2ccccc2c1	IC50	='	24	nM	7.62			UO_0000065	13.64	0.25	3.03	8.79	0	CHEMBL5047300	Inhibition of KRAS G12D mutant in human AGS cells assessed as reduction in ERK phosphorylation measured after 3 hrs by In-Cell Western assay	B	BAO_0000219	cell-based format	Homo sapiens	None	None	AGS	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5046237	1	Scientific Literature	J Med Chem	2022	None	TIME = 3.0 hr	INHIBITOR		0.024
CHEMBL5087229		None	566.66	2	5.05	C#Cc1c(F)ccc2cccc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12	IC50	='	24	nM	7.62			UO_0000065	13.45	0.25	2.57	11.47	0	CHEMBL5047300	Inhibition of KRAS G12D mutant in human AGS cells assessed as reduction in ERK phosphorylation measured after 3 hrs by In-Cell Western assay	B	BAO_0000219	cell-based format	Homo sapiens	None	None	AGS	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5046237	1	Scientific Literature	J Med Chem	2022	None	TIME = 3.0 hr	INHIBITOR		0.024
CHEMBL5204036		None	2022.44	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC1=O	IC50	='	201	nM	6.7			UO_0000065	3.31	None	None	None	0	CHEMBL5136563	Inhibition of recombinant biotinylated KRAS G12D mutant (unknown origin) assessed as inhibition of SOS-catalyzed nucleotide exchange preincubated for 60 mins followed by addition of human SOS protein and unlabeled GTP and measured after 60 mins by TR-FRET analysis	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5131563	1	Scientific Literature	J Med Chem	2022	None	TIME = 1.0 hr	INHIBITOR		201
CHEMBL5176621		None	2106.52	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2[C@@H](c3ccccc3)CCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC1=O	IC50	='	20	nM	7.7			UO_0000065	3.65	None	None	None	0	CHEMBL5136563	Inhibition of recombinant biotinylated KRAS G12D mutant (unknown origin) assessed as inhibition of SOS-catalyzed nucleotide exchange preincubated for 60 mins followed by addition of human SOS protein and unlabeled GTP and measured after 60 mins by TR-FRET analysis	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5131563	1	Scientific Literature	J Med Chem	2022	None	TIME = 1.0 hr	INHIBITOR		20
CHEMBL5175141		None	2184.59	None	None	CC(=O)N[C@@H](CCCCN=[N+]=[N-])C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]1CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2[C@@H](c3ccccc3)CCN2C1=O	IC50	='	6200	nM	5.21			UO_0000065	2.38	None	None	None	0	CHEMBL5136565	Inhibition of KRAS in human ASPC1 cells harboring KRAS G12D mutant assessed as inhibition of ERK phosphorylation incubated for 2 hrs by AlphaScreen-based LDH membrane integrity assay	B	BAO_0000219	cell-based format	Homo sapiens	None	None	ASPC1	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5131563	1	Scientific Literature	J Med Chem	2022	None	TIME = 2.0 hr	INHIBITOR		6.2
CHEMBL5182829		None	2086.53	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2[C@@H](c3ccccc3)CCN2CC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC1=O	IC50	='	33000	nM	4.48			UO_0000065	2.15	None	None	None	0	CHEMBL5136566	Inhibition of KRAS in human ASPC1 cells harboring KRAS G12D mutant assessed as inhibition of ERK phosphorylation incubated for 18 hrs by AlphaScreen-based LDH membrane integrity assay	B	BAO_0000219	cell-based format	Homo sapiens	None	None	ASPC1	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5131563	1	Scientific Literature	J Med Chem	2022	None	TIME = 18.0 hr	INHIBITOR		33
CHEMBL5428238		None	640.14	2	5.79	N#Cc1c(N)sc2c(F)ccc(-c3c(Cl)cc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12	IC50	='	4.3	nM	8.37			UO_0000065	13.07	0.26	2.58	8.1	0	CHEMBL5374159	Inhibition of KRAS G12D mutant in human ASPC1 cells assessed as reduction in ERK phosphorylation measured after 4 hrs by HTRF assay	B	BAO_0000219	cell-based format	Homo sapiens	None	None	ASPC1	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5370635	1	Scientific Literature	ACS Med Chem Lett	2023	None	TIME = 4.0 hr	INHIBITOR		4.3
CHEMBL5172805		None	2072.5	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2[C@@H](c3ccccc3)CCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC1=O	IC50	='	1	nM	9			UO_0000065	4.34	None	None	None	0	CHEMBL5136563	Inhibition of recombinant biotinylated KRAS G12D mutant (unknown origin) assessed as inhibition of SOS-catalyzed nucleotide exchange preincubated for 60 mins followed by addition of human SOS protein and unlabeled GTP and measured after 60 mins by TR-FRET analysis	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5131563	1	Scientific Literature	J Med Chem	2022	None	TIME = 1.0 hr	INHIBITOR		1
CHEMBL5185153		None	2054.44	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](CCCC(=O)O)NC(=O)[C@@H]2[C@@H](C)CCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC1=O	IC50	='	43	nM	7.37			UO_0000065	3.59	None	None	None	0	CHEMBL5136563	Inhibition of recombinant biotinylated KRAS G12D mutant (unknown origin) assessed as inhibition of SOS-catalyzed nucleotide exchange preincubated for 60 mins followed by addition of human SOS protein and unlabeled GTP and measured after 60 mins by TR-FRET analysis	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5131563	1	Scientific Literature	J Med Chem	2022	None	TIME = 1.0 hr	INHIBITOR		43
CHEMBL5177687		None	2078.55	None	None	C=CC[C@H]1CCN2CC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](CCCCC)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc3ccc(-c4ccccc4)cc3)NC(=O)[C@H](CC(C)C)NC(=O)[C@H]12	IC50	='	30000	nM	4.52			UO_0000065	2.18	None	None	None	0	CHEMBL5136565	Inhibition of KRAS in human ASPC1 cells harboring KRAS G12D mutant assessed as inhibition of ERK phosphorylation incubated for 2 hrs by AlphaScreen-based LDH membrane integrity assay	B	BAO_0000219	cell-based format	Homo sapiens	None	None	ASPC1	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5131563	1	Scientific Literature	J Med Chem	2022	None	TIME = 2.0 hr	INHIBITOR		30
CHEMBL5279240		None	619.69	2	6.11	CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CCO6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12	IC50	='	2	nM	8.7			UO_0000065	14.04	0.26	2.59	10.38	0	CHEMBL5256825	Inhibition of His-tagged KRAS G12D mutant (unknown origin) using biotinylated KRPep-2d as substrate preincubated for 30 mins followed by substrate addition and measured after 2 hrs by LANCE TR-FRET assay	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5252668	1	Scientific Literature	ACS Med Chem Lett	2023	None	TIME = 2.5 hr	INHIBITOR		0.002
CHEMBL5273122		None	615.66	2	5.52	C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CCO6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12	IC50	='	1	nM	9			UO_0000065	14.62	0.27	3.48	10.73	0	CHEMBL5256826	Inhibition of N-terminal His-tagged GDP-bound KRAS G12D mutant (1 to 169 residues) (unknown origin) assessed as inhibition of SOS mediated nucleotide exchange preincubated for 2 hrs followed by addition of SOS protein and unlabeled GTP measured after 30 mins by Alphascreen assay	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5252668	1	Scientific Literature	ACS Med Chem Lett	2023	None	TIME = 2.5 hr	INHIBITOR		0.001
CHEMBL5275926		None	615.73	2	6.28	CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CCO6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3C)c12	IC50	='	4	nM	8.4			UO_0000065	13.64	0.25	2.12	10.02	0	CHEMBL5256826	Inhibition of N-terminal His-tagged GDP-bound KRAS G12D mutant (1 to 169 residues) (unknown origin) assessed as inhibition of SOS mediated nucleotide exchange preincubated for 2 hrs followed by addition of SOS protein and unlabeled GTP measured after 30 mins by Alphascreen assay	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5252668	1	Scientific Literature	ACS Med Chem Lett	2023	None	TIME = 2.5 hr	INHIBITOR		0.004
CHEMBL5286121		None	623.65	2	5.66	Oc1cc(-c2ncc3c(N4CCCC5(CC(O)C5)C4)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c2c(F)c(F)ccc2c1	IC50	='	119	nM	6.92			UO_0000065	11.1	0.21	1.26	7.3	0	CHEMBL5256827	Inhibition of KRAS G12D mutant in human ASPC1 cells assessed as reduction in ERK1/2 phosphorylation level incubated for 2 hrs by MSD assay	B	BAO_0000219	cell-based format	Homo sapiens	None	None	ASPC1	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5252668	1	Scientific Literature	ACS Med Chem Lett	2023	None	TIME = 2.0 hr	INHIBITOR		0.119
CHEMBL5290459		None	598.09	2	5.78	Oc1cc(Cl)c(C2CC2)c(-c2ncc3c(N4CCCC5(CCO5)C4)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c1	IC50	='	66	nM	7.18			UO_0000065	12.01	0.23	1.4	8.56	0	CHEMBL5256827	Inhibition of KRAS G12D mutant in human ASPC1 cells assessed as reduction in ERK1/2 phosphorylation level incubated for 2 hrs by MSD assay	B	BAO_0000219	cell-based format	Homo sapiens	None	None	ASPC1	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5252668	1	Scientific Literature	ACS Med Chem Lett	2023	None	TIME = 2.0 hr	INHIBITOR		0.066
CHEMBL4091553		None	2575.09	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSCSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC1=O	IC50	='	18	nM	7.75			UO_0000065	3.01	None	None	None	0	CHEMBL4021570	Inhibition of biotinylated K-Ras G12D mutant (unknown origin) assessed as reduction in SOS1 (564 to 1049 residues)-mediated BODIPY-GDP-GTP exchange after 1 hr by TR-FRET assay	B	BAO_0000019	assay format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4020739	1	Scientific Literature	Bioorg Med Chem Lett	2017	None				18
CHEMBL4863339		None	564.67	1	4.62	C#Cc1cccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12	IC50	='	0.3	nM	9.52			UO_0000065	16.86	0.31	4.9	10.99	0	CHEMBL4845550	Displacement of Cy5-labelled tracer from biotinylated GDP-loaded human recombinant KRAS G12D mutant (1 to 169 residues) measured after 60 mins by TR-FRET assay	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4842393	1	Scientific Literature	ACS Med Chem Lett	2021	None	TIME = 1.0 hr	INHIBITOR		0.3
CHEMBL4874297		None	594.61	1	4.86	Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c2c(F)c(F)ccc2c1	IC50	='	0.6	nM	9.22			UO_0000065	15.51	0.29	4.36	10.64	0	CHEMBL4845550	Displacement of Cy5-labelled tracer from biotinylated GDP-loaded human recombinant KRAS G12D mutant (1 to 169 residues) measured after 60 mins by TR-FRET assay	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4842393	1	Scientific Literature	ACS Med Chem Lett	2021	None	TIME = 1.0 hr	INHIBITOR		0.6
CHEMBL4863371		None	604.68	2	5.29	CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12	IC50	='	0.8	nM	9.1			UO_0000065	15.04	0.28	3.81	10.5	0	CHEMBL4845550	Displacement of Cy5-labelled tracer from biotinylated GDP-loaded human recombinant KRAS G12D mutant (1 to 169 residues) measured after 60 mins by TR-FRET assay	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4842393	1	Scientific Literature	ACS Med Chem Lett	2021	None	TIME = 1.0 hr	INHIBITOR		0.8
CHEMBL4876243		None	588.66	1	4.4	COC1CN2CCCC2(COc2nc(N3CC4CCC(C3)N4)c3cnc(-c4cc(O)cc5cccc(F)c45)c(F)c3n2)C1	IC50	='	0.6	nM	9.22			UO_0000065	15.67	0.29	4.82	9.62	0	CHEMBL4845550	Displacement of Cy5-labelled tracer from biotinylated GDP-loaded human recombinant KRAS G12D mutant (1 to 169 residues) measured after 60 mins by TR-FRET assay	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4842393	1	Scientific Literature	ACS Med Chem Lett	2021	None	TIME = 1.0 hr	INHIBITOR		0.6
CHEMBL4072295		None	2561.06	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC1=O	IC50	='	1.6	nM	8.8			UO_0000065	3.43	None	None	None	0	CHEMBL4021570	Inhibition of biotinylated K-Ras G12D mutant (unknown origin) assessed as reduction in SOS1 (564 to 1049 residues)-mediated BODIPY-GDP-GTP exchange after 1 hr by TR-FRET assay	B	BAO_0000019	assay format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4020739	1	Scientific Literature	Bioorg Med Chem Lett	2017	None				1.6
CHEMBL4081270		None	2589.11	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSCCSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC1=O	IC50	='	61	nM	7.21			UO_0000065	2.79	None	None	None	0	CHEMBL4021570	Inhibition of biotinylated K-Ras G12D mutant (unknown origin) assessed as reduction in SOS1 (564 to 1049 residues)-mediated BODIPY-GDP-GTP exchange after 1 hr by TR-FRET assay	B	BAO_0000019	assay format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4020739	1	Scientific Literature	Bioorg Med Chem Lett	2017	None				61
CHEMBL4063829		None	2468.96	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC1=O	IC50	='	50	nM	7.3			UO_0000065	2.96	None	None	None	0	CHEMBL4021570	Inhibition of biotinylated K-Ras G12D mutant (unknown origin) assessed as reduction in SOS1 (564 to 1049 residues)-mediated BODIPY-GDP-GTP exchange after 1 hr by TR-FRET assay	B	BAO_0000019	assay format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4020739	1	Scientific Literature	Bioorg Med Chem Lett	2017	None				50
CHEMBL5424715		None	568.02	1	4.66	Cc1cc(N)nc(-c2c(Cl)cc3c(N4CCNC[C@@H]4C)nc(OC[C@@H]4CCCN4C)nc3c2F)c1C(F)(F)F	IC50	='	76.9	nM	7.11			UO_0000065	12.52	0.25	2.45	7.7	0	CHEMBL5374156	Inhibition of GDP-bound biotinylated-KRAS G12D mutant (1 to 169 residues) (unknown origin) assessed as suppression of SOS1-mediated nucleotide exchange by measuring reduction in KRAS G12D mutant-RAF RBD complex formation preincubated for 60 mins followed by SOS1 addition and further incubated for 60 mins and subsequent addition of KRAS G12D mutant-RAF RBD mixture measured after 30 to 60 mins by FRET assay	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5370635	1	Scientific Literature	ACS Med Chem Lett	2023	None	TIME = 3.0 hr	INHIBITOR		76.9
CHEMBL5418527		None	580.03	1	4.81	Cc1cc(N)nc(-c2c(Cl)cc3c(N4CC5CCC(C4)N5)nc(OC[C@@H]4CCCN4C)nc3c2F)c1C(F)(F)F	IC50	='	3.5	nM	8.46			UO_0000065	14.58	0.29	3.65	9.15	0	CHEMBL5374156	Inhibition of GDP-bound biotinylated-KRAS G12D mutant (1 to 169 residues) (unknown origin) assessed as suppression of SOS1-mediated nucleotide exchange by measuring reduction in KRAS G12D mutant-RAF RBD complex formation preincubated for 60 mins followed by SOS1 addition and further incubated for 60 mins and subsequent addition of KRAS G12D mutant-RAF RBD mixture measured after 30 to 60 mins by FRET assay	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5370635	1	Scientific Literature	ACS Med Chem Lett	2023	None	TIME = 3.0 hr	INHIBITOR		3.5
CHEMBL5405632		None	654.16	2	6.04	N#Cc1c(N)sc2c(F)ccc(-c3c(Cl)cc4c(N5CC6CCC(C5)N6)nc(OCC5(CN6CC[C@@H](F)C6)CC5)nc4c3F)c12	IC50	='	1	nM	9			UO_0000065	13.76	0.27	2.96	8.71	0	CHEMBL5374156	Inhibition of GDP-bound biotinylated-KRAS G12D mutant (1 to 169 residues) (unknown origin) assessed as suppression of SOS1-mediated nucleotide exchange by measuring reduction in KRAS G12D mutant-RAF RBD complex formation preincubated for 60 mins followed by SOS1 addition and further incubated for 60 mins and subsequent addition of KRAS G12D mutant-RAF RBD mixture measured after 30 to 60 mins by FRET assay	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5370635	1	Scientific Literature	ACS Med Chem Lett	2023	None	TIME = 3.0 hr	INHIBITOR		1
